,abundance,fit_val
0,-1.975,1.0724571235663138e-36
1,-1.925,1.939312171824188e-34
2,-1.875,3.0844696492257507e-32
3,-1.825,4.3149748833164145e-30
4,-1.775,5.309346092560665e-28
5,-1.7249999999999996,5.746041956691337e-26
6,-1.6749999999999998,5.46967526010071e-24
7,-1.6249999999999996,4.579512885884296e-22
8,-1.5749999999999995,3.372422833566024e-20
9,-1.5249999999999997,2.1843878377068434e-18
10,-1.4749999999999996,1.2444643829480089e-16
11,-1.4249999999999994,6.235914989245817e-15
12,-1.3749999999999996,2.748418692794598e-13
13,-1.3249999999999993,1.0654439169813267e-11
14,-1.2749999999999997,3.632815046674271e-10
15,-1.2249999999999992,1.0894842948038427e-08
16,-1.1749999999999994,2.8738470692978885e-07
17,-1.1249999999999991,6.667627451854303e-06
18,-1.0749999999999993,0.00013606423722363112
19,-1.024999999999999,0.002442202377381231
20,-0.9749999999999992,0.03855531901843314
21,-0.9249999999999989,0.5353674282852848
22,-0.874999999999999,6.538597173893174
23,-0.824999999999999,70.23962958304463
24,-0.7749999999999989,663.658766846133
25,-0.7249999999999989,5515.342052496389
26,-0.6749999999999988,40314.8511751338
27,-0.6249999999999988,259192.63865004075
28,-0.5749999999999987,1465700.574022067
29,-0.5249999999999987,7290089.260560125
30,-0.4749999999999986,31892269.606431726
31,-0.4249999999999986,122716511.4270123
32,-0.37499999999999856,415322603.2792307
33,-0.3249999999999985,1236326355.223194
34,-0.2749999999999985,3237022216.8506093
35,-0.2249999999999984,7454580790.701171
36,-0.17499999999999838,15099611192.566576
37,-0.12499999999999832,26901301767.329063
38,-0.07499999999999829,42154682327.907425
39,-0.024999999999998246,58100964036.82585
40,0.025000000000001688,70434566985.61292
41,0.07500000000000172,75102319903.91895
42,0.125000000000002,70434566985.61287
43,0.17500000000000204,58100964036.825745
44,0.22500000000000187,42154682327.90739
45,0.2750000000000019,26901301767.329025
46,0.3250000000000022,25694956541.90475
47,0.3750000000000022,16436284936.374985
48,0.4250000000000021,10513793322.402773
49,0.4750000000000021,6725354935.990819
50,0.5250000000000024,4302005720.302594
51,0.5750000000000024,2751862673.964536
52,0.6250000000000022,1760283149.0020905
53,0.6750000000000023,1125999779.7043576
54,0.7250000000000025,720267932.2431853
55,0.7750000000000026,460733566.3547706
56,0.8250000000000024,294717298.4709745
57,0.8750000000000024,188521723.53152853
58,0.9250000000000028,120591632.82130252
