abundance,num_val
-1.975,0.0
-1.9249999999999998,0.0
-1.875,0.0
-1.8249999999999997,0.0
-1.775,0.0
-1.7249999999999996,0.0
-1.6749999999999998,0.0
-1.6249999999999996,0.0
-1.5749999999999997,0.0
-1.5249999999999995,0.0
-1.4749999999999996,0.0
-1.4249999999999994,0.0
-1.3749999999999996,10488.849
-1.3249999999999993,10477.709
-1.2749999999999995,36800.57
-1.2249999999999992,15750.571
-1.1749999999999994,42091.234
-1.1249999999999991,68659.016
-1.0749999999999993,195313.89
-1.024999999999999,535590.5
-0.9749999999999991,2337213.8
-0.924999999999999,3096525.5
-0.874999999999999,672903.75
-0.824999999999999,125200.625
-0.7749999999999989,32965.625
-0.7249999999999989,11328.125
-0.6749999999999988,0.0
-0.6249999999999988,5545.625
-0.5749999999999987,5636.25
-0.5249999999999987,6252.5
-0.47499999999999865,0.0
-0.4249999999999986,0.0
-0.37499999999999856,0.0
-0.3249999999999985,7071.25
-0.27499999999999847,0.0
-0.22499999999999842,0.0
-0.17499999999999838,12778.75
-0.12499999999999833,8792.5
-0.07499999999999829,0.0
