abundance,num_val
-3.975,0.0
-3.9250000000000003,0.0
-3.8750000000000004,0.0
-3.8250000000000006,0.0
-3.775000000000001,0.0
-3.725000000000001,0.0
-3.675000000000001,0.0
-3.6250000000000013,0.0
-3.5750000000000015,0.0
-3.5250000000000017,0.0
-3.475000000000002,0.0
-3.425000000000002,0.0
-3.375000000000002,0.0
-3.3250000000000024,0.0
-3.2750000000000026,0.0
-3.2250000000000028,0.0
-3.175000000000003,0.0
-3.125000000000003,0.0
-3.0750000000000033,0.0
-3.0250000000000035,0.0
-2.9750000000000036,0.0
-2.925000000000004,0.0
-2.875000000000004,0.0
-2.825000000000004,0.0
-2.7750000000000044,83766.19
-2.7250000000000045,251287.72
-2.6750000000000047,209408.39
-2.625000000000005,670148.25
-2.575000000000005,1424327.8
-2.5250000000000052,1926780.6
-2.4750000000000054,4356632.5
-2.4250000000000056,8126759.5
-2.3750000000000058,11270629.0
-2.325000000000006,14626145.0
-2.275000000000006,17149204.0
-2.2250000000000063,21353614.0
-2.1750000000000065,24928934.0
-2.1250000000000067,27334060.0
-2.075000000000007,28112470.0
-2.025000000000007,27004870.0
-1.9750000000000072,25495660.0
-1.9250000000000074,22533100.0
-1.8750000000000075,17495300.0
-1.8250000000000077,13469720.0
-1.775000000000008,9373860.0
-1.725000000000008,8832220.0
-1.6750000000000083,6545640.0
-1.6250000000000084,3768780.0
-1.5750000000000086,3398400.0
-1.5250000000000088,1869100.0
-1.475000000000009,1212120.0
-1.4250000000000091,746920.0
-1.3750000000000093,387820.0
-1.3250000000000095,298700.0
-1.2750000000000097,214460.0
-1.2250000000000099,188480.0
-1.17500000000001,172780.0
-1.1250000000000102,0.0
-1.0750000000000104,43460.0
-1.0250000000000106,44300.0
-0.9750000000000107,0.0
-0.9250000000000109,90640.0
-0.8750000000000111,0.0
-0.8250000000000113,0.0
-0.7750000000000115,45620.0
-0.7250000000000116,0.0
-0.6750000000000118,0.0
-0.625000000000012,0.0
-0.5750000000000122,0.0
-0.5250000000000123,0.0
-0.4750000000000125,0.0
-0.4250000000000127,0.0
-0.3750000000000129,0.0
-0.32500000000001306,0.0
-0.27500000000001323,0.0
-0.2250000000000134,0.0
-0.1750000000000136,0.0
-0.12500000000001377,0.0
-0.07500000000001394,0.0
