,abundance,fit_val
0,-1.975,1.0606928354669453e-97
1,-1.925,2.5064452545540353e-89
2,-1.875,2.696202971748158e-81
3,-1.825,1.320300278072733e-73
4,-1.775,2.943192162879689e-66
5,-1.7249999999999996,2.9866910046928407e-59
6,-1.6749999999999998,1.3797097757208867e-52
7,-1.6249999999999996,2.9014224080665197e-46
8,-1.5749999999999995,2.7775376345347834e-40
9,-1.5249999999999997,1.2104161661391553e-34
10,-1.4749999999999996,2.401238238213796e-29
11,-1.4249999999999994,2.1685106415648262e-24
12,-1.3749999999999996,8.91484171813336e-20
13,-1.3249999999999993,1.6683666031547391e-15
14,-1.2749999999999997,1.4213306145550477e-11
15,-1.2249999999999992,5.5121941438216386e-08
16,-1.1749999999999994,9.731497425474307e-05
17,-1.1249999999999991,0.0782096983299438
18,-1.0749999999999993,28.613258690439398
19,-1.024999999999999,4765.404864377339
20,-0.9749999999999992,361291.76125839073
21,-0.9249999999999989,12469300.309096478
22,-0.874999999999999,195907870.0120757
23,-0.824999999999999,1401159104.1700253
24,-0.7749999999999989,4561931871.003757
25,-0.7249999999999989,6761388788.9043045
26,-0.6749999999999988,5795422904.619584
27,-0.6249999999999988,1545199117.9552176
28,-0.5749999999999987,411987244.6627446
29,-0.5249999999999987,109845707.12764241
30,-0.4749999999999986,29287507.15146323
31,-0.4249999999999986,7808753.728994478
32,-0.37499999999999856,2082001.5334435403
33,-0.3249999999999985,555111.677957787
34,-0.2749999999999985,148006.1229808247
35,-0.2249999999999984,39461.991721025806
36,-0.17499999999999838,10521.515996956861
37,-0.12499999999999832,2805.2891921123155
38,-0.07499999999999829,747.9575617865611
39,-0.024999999999998246,199.42347327565616
40,0.025000000000001688,53.17109382293438
41,0.07500000000000172,14.176692301509505
42,0.125000000000002,3.779847096637854
43,0.17500000000000204,1.007798135848687
44,0.22500000000000187,0.2687032191126238
45,0.2750000000000019,0.07164274014129195
46,0.3250000000000022,0.01910167742650445
47,0.3750000000000022,0.0050929665697687886
48,0.4250000000000021,0.0013579073660196913
49,0.4750000000000021,0.00036205075949953465
50,0.5250000000000024,9.65314392824997e-05
51,0.5750000000000024,2.5737603154960477e-05
52,0.6250000000000022,6.862263953442608e-06
53,0.6750000000000023,1.8296445975639026e-06
54,0.7250000000000025,4.878272500310016e-07
55,0.7750000000000026,1.3006647640184725e-07
56,0.8250000000000024,3.467885052037825e-08
57,0.8750000000000024,9.246215525199248e-09
58,0.9250000000000028,2.465263417199998e-09
