,abundance,fit_val
0,-2.975,3.395582244552622e-08
1,-2.9250000000000003,3.8708282926146773e-07
2,-2.8750000000000004,4.051442802496291e-06
3,-2.8250000000000006,3.893423714535025e-05
4,-2.7750000000000012,0.0003435340426675531
5,-2.725000000000001,0.0027830694433726402
6,-2.6750000000000007,0.020701149340960734
7,-2.6250000000000013,0.14137773721072563
8,-2.575000000000001,0.8865102204035499
9,-2.5250000000000017,5.1039054430838275
10,-2.475000000000002,26.979732875394323
11,-2.425000000000002,130.94497091470646
12,-2.375000000000002,583.5205484346686
13,-2.3250000000000024,2387.4794235506047
14,-2.2750000000000026,8968.90188331929
15,-2.2250000000000028,30935.351943660582
16,-2.1750000000000034,97968.62258359582
17,-2.125000000000003,284862.377937381
18,-2.0750000000000037,760500.2149769726
19,-2.0250000000000035,1864145.2111358976
20,-1.975000000000004,4195428.17496457
21,-1.925000000000004,8669399.050472012
22,-1.8750000000000042,16448179.994130587
23,-1.825000000000004,28652522.245854296
24,-1.7750000000000044,45827273.4830701
25,-1.7250000000000043,67297872.19351096
26,-1.6750000000000047,90739169.3194375
27,-1.6250000000000049,112332239.65027578
28,-1.5750000000000048,127682150.58696549
29,-1.5250000000000052,133251501.90444522
30,-1.4750000000000054,127682150.58696543
31,-1.4250000000000056,112332239.65027578
32,-1.3750000000000058,86772044.81669375
33,-1.3250000000000057,51479404.51137646
34,-1.275000000000006,30541277.371581357
35,-1.2250000000000063,18119277.647855006
36,-1.1750000000000065,10749655.899643151
37,-1.1250000000000069,6377467.369644984
38,-1.0750000000000068,3783571.3468964603
39,-1.0250000000000072,2244686.0653797225
40,-0.9750000000000072,1331708.87242364
41,-0.9250000000000074,790065.2782783859
42,-0.8750000000000075,468723.4251169977
43,-0.8250000000000077,278080.375500309
44,-0.7750000000000079,164977.2362435074
45,-0.7250000000000081,97876.33675903104
46,-0.6750000000000083,58067.267433353336
47,-0.6250000000000084,34449.67045995884
48,-0.5750000000000086,20438.01692858868
49,-0.5250000000000088,12125.298454125643
50,-0.475000000000009,7193.597261188608
51,-0.4250000000000092,4267.758171228594
52,-0.3750000000000093,2531.9404390841564
53,-0.3250000000000095,1502.1287828087393
54,-0.2750000000000097,891.1705999524385
55,-0.22500000000000986,528.7063581423364
56,-0.17500000000001004,313.66655627446704
57,-0.1250000000000102,186.08951265646826
58,-0.07500000000001039,110.40165433008477
59,-0.02500000000001057,65.49818474359839
60,0.024999999999989253,38.85822391646449
61,0.07499999999998908,23.05348723560876
62,0.1249999999999889,13.676983149432944
63,0.17499999999998872,8.1141679850039
64,0.22499999999998851,4.813906792858191
65,0.2749999999999884,2.855954997869693
66,0.3249999999999882,1.6943574732185689
67,0.374999999999988,1.0052144551272792
68,0.42499999999998783,0.5963653578234527
69,0.4749999999999877,0.35380673069097596
70,0.5249999999999875,0.20990354493276106
71,0.5749999999999873,0.12452984738106175
72,0.6249999999999871,0.07388004282499441
73,0.6749999999999869,0.043830943686301284
74,0.7249999999999868,0.02600366148923997
75,0.7749999999999866,0.015427238247172802
76,0.8249999999999864,0.009152544922703018
77,0.8749999999999862,0.00542994651537506
78,0.924999999999986,0.003221433973702493
