,abundance,fit_val
0,-2.975,1.9673542476696768e-23
1,-2.9250000000000003,1.360133375105228e-21
2,-2.8750000000000004,8.254187059047246e-20
3,-2.8250000000000006,4.397045858896386e-18
4,-2.7750000000000012,2.0560873566450027e-16
5,-2.725000000000001,8.439486231421785e-15
6,-2.6750000000000007,3.0407753396995907e-13
7,-2.6250000000000013,9.617153306262503e-12
8,-2.575000000000001,2.66994689174573e-10
9,-2.5250000000000017,6.506577178767185e-09
10,-2.475000000000002,1.3918627991400744e-07
11,-2.425000000000002,2.613570071690564e-06
12,-2.375000000000002,4.3079013382843464e-05
13,-2.3250000000000024,0.000623291533033096
14,-2.2750000000000026,0.007916087490162002
15,-2.2250000000000028,0.08825185091458022
16,-2.1750000000000034,0.8636364009861727
17,-2.125000000000003,7.418770463639656
18,-2.0750000000000037,55.940559874200595
19,-2.0250000000000035,370.2674729876095
20,-1.975000000000004,2151.2862164419053
21,-1.925000000000004,10971.719758802315
22,-1.8750000000000042,49118.50014325464
23,-1.825000000000004,193023.13576960613
24,-1.7750000000000044,665836.3724189341
25,-1.7250000000000043,2016134.6954804917
26,-1.6750000000000047,5358774.108835974
27,-1.6250000000000049,12502741.050858509
28,-1.5750000000000048,25605832.576787483
29,-1.5250000000000052,46032699.68073639
30,-1.4750000000000054,72642012.74129966
31,-1.4250000000000056,100624369.30175145
32,-1.3750000000000058,122352360.56495938
33,-1.3250000000000057,130591651.2066805
34,-1.275000000000006,122352360.56495945
35,-1.2250000000000063,68533112.8203916
36,-1.1750000000000065,56358747.93532267
37,-1.1250000000000069,46347062.58216465
38,-1.0750000000000068,38113873.86497988
39,-1.0250000000000072,31343245.937545486
40,-0.9750000000000072,25775366.455313697
41,-0.9250000000000074,21196576.679694667
42,-0.8750000000000075,17431172.655376617
43,-0.8250000000000077,14334662.843581697
44,-0.7750000000000079,11788223.483391462
45,-0.7250000000000081,9694138.914233467
46,-0.6750000000000083,7972051.888977144
47,-0.6250000000000084,6555879.989220202
48,-0.5750000000000086,5391279.8149852995
49,-0.5250000000000088,4433561.641039922
50,-0.475000000000009,3645974.5180104706
51,-0.4250000000000092,2998296.0117057706
52,-0.3750000000000093,2465672.464084103
53,-0.3250000000000095,2027665.2726772772
54,-0.2750000000000097,1667466.5909239666
55,-0.22500000000000986,1371254.3531291862
56,-0.17500000000001004,1127661.8741331554
57,-0.1250000000000102,927341.670399569
58,-0.07500000000001039,762606.7648341169
59,-0.02500000000001057,627135.7109620386
60,0.024999999999989253,515730.01722508034
61,0.07499999999998908,424114.6629315157
62,0.1249999999999889,348774.05096824333
63,0.17499999999998872,286817.1022147406
64,0.22499999999998851,235866.31486627218
65,0.2749999999999884,193966.53148996315
66,0.3249999999999882,159509.91289102813
67,0.374999999999988,131174.2397776492
68,0.42499999999998783,107872.17464659535
69,0.4749999999999877,88709.53689314463
70,0.5249999999999875,72950.99001737386
71,0.5749999999999873,59991.824226581586
72,0.6249999999999871,49334.75163498018
73,0.6749999999999869,40570.823612440545
74,0.7249999999999868,33363.73801514575
75,0.7749999999999866,27436.93411247269
76,0.8249999999999864,22562.979997937753
77,0.8749999999999862,18554.84524256336
78,0.924999999999986,15258.7238922759
