,abundance,fit_val
0,-3.975,164.98327510350308
1,-3.925,281.15350974572357
2,-3.875,472.8582385561267
3,-3.8250000000000006,784.8782111179208
4,-3.7750000000000012,1285.752707864672
5,-3.725000000000001,2078.72234471768
6,-3.675000000000001,3316.800751926546
7,-3.625000000000001,5223.073579961158
8,-3.575000000000001,8117.396628696616
9,-3.5250000000000017,12450.6278318852
10,-3.475000000000002,18847.319743959597
11,-3.4250000000000016,28157.351815706734
12,-3.3750000000000018,41516.22701394368
13,-3.3250000000000024,60412.63948374024
14,-3.2750000000000026,86760.41200338617
15,-3.2250000000000028,122970.0253434147
16,-3.175000000000003,172012.806373963
17,-3.125000000000003,237468.5838017741
18,-3.0750000000000037,323545.5307213068
19,-3.0250000000000035,435059.35331158846
20,-2.975000000000004,577358.3841447032
21,-2.9250000000000043,756181.9484820314
22,-2.875000000000004,977442.0003682171
23,-2.825000000000004,1246922.7522924577
24,-2.7750000000000044,1569899.9093029827
25,-2.7250000000000045,1950689.9265908145
26,-2.6750000000000047,2392149.843166437
27,-2.625000000000005,2895158.7415838367
28,-2.5750000000000046,3458121.468156265
29,-2.525000000000005,4076542.448451133
30,-2.4750000000000054,4742720.767324554
31,-2.4250000000000056,5445615.889387425
32,-2.3750000000000058,6170925.6764563415
33,-2.325000000000006,6901404.595176631
34,-2.275000000000006,7617430.906045904
35,-2.2250000000000063,8297808.744715769
36,-2.1750000000000065,8920766.657285698
37,-2.1250000000000067,9465091.148086386
38,-2.075000000000007,9911315.1022104
39,-2.025000000000007,10242869.238501845
40,-1.9750000000000072,10447102.013170617
41,-1.9250000000000076,10516080.56166446
42,-1.8750000000000075,10447102.013170615
43,-1.825000000000008,10242869.238501845
44,-1.7750000000000081,8980681.312944552
45,-1.725000000000008,6408343.008822181
46,-1.6750000000000085,4572800.06802239
47,-1.6250000000000084,3263012.0505907107
48,-1.5750000000000086,2328386.8710456984
49,-1.5250000000000088,1661466.5643899576
50,-1.475000000000009,1185572.3715475244
51,-1.4250000000000091,845988.6453946851
52,-1.375000000000009,603671.9523098671
53,-1.3250000000000095,430762.076996426
54,-1.2750000000000097,307378.81107159343
55,-1.22500000000001,219336.23812611154
56,-1.17500000000001,156511.7165610642
57,-1.1250000000000102,111682.03498961515
58,-1.0750000000000104,79692.92787454181
59,-1.0250000000000106,56866.466964068735
60,-0.9750000000000107,40578.19371458394
61,-0.9250000000000108,28955.373756183955
62,-0.8750000000000111,20661.680390642414
63,-0.8250000000000113,14743.551237147587
64,-0.7750000000000115,10520.552974038017
65,-0.7250000000000116,7507.148928995327
66,-0.6750000000000118,5356.874793672043
67,-0.6250000000000121,3822.5040992918302
68,-0.5750000000000122,2727.623502860867
69,-0.5250000000000123,1946.3497697065472
70,-0.4750000000000125,1388.8564246727606
71,-0.4250000000000127,991.0460074427558
72,-0.3750000000000129,707.1805057888861
73,-0.32500000000001306,504.6226552673057
74,-0.27500000000001323,360.0834894691573
75,-0.2250000000000134,256.9447051868928
76,-0.1750000000000136,183.34798304945357
77,-0.12500000000001374,130.8315844214468
78,-0.07500000000001394,93.3574681190211
79,-0.02500000000001412,66.61707027500697
80,0.0249999999999857,47.53592981300056
81,0.07499999999998552,33.92020414374603
82,0.12499999999998535,24.20443343970808
83,0.17499999999998514,17.27155283778782
84,0.224999999999985,12.324458582001563
85,0.2749999999999848,8.794361501019889
86,0.32499999999998463,6.275390817051238
87,0.3749999999999845,4.477929398531533
88,0.4249999999999843,3.1953152055086362
89,0.4749999999999841,2.280080446534705
90,0.5249999999999839,1.6269965584951898
91,0.5749999999999837,1.1609756161798233
92,0.6249999999999836,0.828437143475436
93,0.6749999999999834,0.5911477305165356
94,0.7249999999999832,0.4218251704997487
95,0.7749999999999828,0.3010017044498572
96,0.8249999999999829,0.21478572740071505
97,0.8749999999999827,0.1532646095123344
98,0.9249999999999824,0.10936499744763789
