,abundance,fit_val
0,-2.975,0.016000275086056722
1,-2.9250000000000003,0.05553189971384883
2,-2.8750000000000004,0.18609497742179829
3,-2.8250000000000006,0.6021487833913145
4,-2.7750000000000012,1.8812651676219214
5,-2.725000000000001,5.675096563841135
6,-2.6750000000000007,16.53002600275549
7,-2.6250000000000013,46.48906994706243
8,-2.575000000000001,126.24239318928423
9,-2.5250000000000017,331.0065745384008
10,-2.475000000000002,838.0020111670824
11,-2.425000000000002,2048.4744045749417
12,-2.375000000000002,4834.961973870541
13,-2.3250000000000024,11018.757459633976
14,-2.2750000000000026,24246.509365998718
15,-2.2250000000000028,51516.086684141104
16,-2.1750000000000034,105685.04728818919
17,-2.125000000000003,209344.36088849633
18,-2.0750000000000037,400392.586325073
19,-2.0250000000000035,739414.2705755985
20,-1.975000000000004,1318459.1202894417
21,-1.925000000000004,2269982.710269197
22,-1.8750000000000042,3773596.5819667364
23,-1.825000000000004,6057109.576542432
24,-1.7750000000000044,9387553.624386942
25,-1.7250000000000043,14048063.81051103
26,-1.6750000000000047,20298201.13657863
27,-1.6250000000000049,28318853.84024652
28,-1.5750000000000048,38147917.287528686
29,-1.5250000000000052,49618431.61842361
30,-1.4750000000000054,62314953.15032506
31,-1.4250000000000056,75564628.75971423
32,-1.3750000000000058,88475265.2269515
33,-1.3250000000000057,100023542.8695204
34,-1.275000000000006,109184159.04602727
35,-1.2250000000000063,115078468.49139965
36,-1.1750000000000065,117113120.6435326
37,-1.1250000000000069,115078468.49139966
38,-1.0750000000000068,90669785.65654646
39,-1.0250000000000072,37008851.44955519
40,-0.9750000000000072,15105970.260075737
41,-0.9250000000000074,6165831.377105224
42,-0.8750000000000075,2516718.616305861
43,-0.8250000000000077,1027253.6185759525
44,-0.7750000000000079,419295.9793122705
45,-0.7250000000000081,171144.80308295655
46,-0.6750000000000083,69856.48579398816
47,-0.6250000000000084,28513.448960061545
48,-0.5750000000000086,11638.386362515883
49,-0.5250000000000088,4750.461345904577
50,-0.475000000000009,1939.0044543988874
51,-0.4250000000000092,791.4469775488293
52,-0.3750000000000093,323.0463534264368
53,-0.3250000000000095,131.8584180905278
54,-0.2750000000000097,53.820890522126575
55,-0.22500000000000986,21.96817084978222
56,-0.17500000000001004,8.966788282457287
57,-0.1250000000000102,3.6599902946954077
58,-0.07500000000001039,1.4939049005396632
59,-0.02500000000001057,0.6097698824750991
60,0.024999999999989253,0.248890882839582
61,0.07499999999998908,0.10159024468250356
62,0.1249999999999889,0.04146627508771738
63,0.17499999999998872,0.016925364979915092
64,0.22499999999998851,0.006908457031583939
65,0.2749999999999884,0.0028198374814296734
66,0.3249999999999882,0.0011509781974937696
67,0.374999999999988,0.0004697968658939703
68,0.42499999999998783,0.00019175784188126728
69,0.4749999999999877,7.827014736037043e-05
70,0.5249999999999875,3.194766851624944e-05
71,0.5749999999999873,1.3040138009768599e-05
72,0.6249999999999871,5.322616867247186e-06
73,0.6749999999999869,2.172542214988956e-06
74,0.7249999999999868,8.867705103768284e-07
75,0.7749999999999866,3.6195473332976575e-07
76,0.8249999999999864,1.477397223371224e-07
77,0.8749999999999862,6.03031913837807e-08
78,0.924999999999986,2.461406339163753e-08
